request_date,complaint_type,borough,request_count
2022-01-07T00:00:00.000,Air Quality,MANHATTAN,21
2022-01-07T00:00:00.000,Air Quality,QUEENS,5
2022-01-07T00:00:00.000,HEAT/HOT WATER,BRONX,516
2022-01-07T00:00:00.000,HEAT/HOT WATER,BROOKLYN,383
2022-01-07T00:00:00.000,HEAT/HOT WATER,MANHATTAN,291
2022-01-07T00:00:00.000,HEAT/HOT WATER,QUEENS,196
2022-01-07T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,18
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,BRONX,13
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,13
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,52
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,QUEENS,6
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-07T00:00:00.000,Sewer,BRONX,14
2022-01-07T00:00:00.000,Sewer,BROOKLYN,13
2022-01-07T00:00:00.000,Sewer,MANHATTAN,6
2022-01-07T00:00:00.000,Sewer,QUEENS,27
2022-01-07T00:00:00.000,Sewer,STATEN ISLAND,4
2022-01-07T00:00:00.000,Sewer,Unspecified,1
2022-01-07T00:00:00.000,Street Condition,BRONX,30
2022-01-07T00:00:00.000,Street Condition,BROOKLYN,25
2022-01-07T00:00:00.000,Street Condition,MANHATTAN,5
2022-01-07T00:00:00.000,Street Condition,QUEENS,10
2022-01-07T00:00:00.000,Street Condition,STATEN ISLAND,4
2022-01-08T00:00:00.000,Air Quality,BRONX,3
2022-01-08T00:00:00.000,Air Quality,BROOKLYN,1
2022-01-08T00:00:00.000,Air Quality,MANHATTAN,3
2022-01-08T00:00:00.000,Air Quality,QUEENS,1
2022-01-08T00:00:00.000,Air Quality,STATEN ISLAND,1
2022-01-08T00:00:00.000,HEAT/HOT WATER,BRONX,747
2022-01-08T00:00:00.000,HEAT/HOT WATER,BROOKLYN,594
2022-01-08T00:00:00.000,HEAT/HOT WATER,MANHATTAN,514
2022-01-08T00:00:00.000,HEAT/HOT WATER,QUEENS,286
2022-01-08T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,32
2022-01-08T00:00:00.000,Noise - Street/Sidewalk,BRONX,18
2022-01-08T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,18
2022-01-08T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,57
2022-01-08T00:00:00.000,Noise - Street/Sidewalk,QUEENS,9
2022-01-08T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-08T00:00:00.000,Sewer,BRONX,7
2022-01-08T00:00:00.000,Sewer,BROOKLYN,10
2022-01-08T00:00:00.000,Sewer,MANHATTAN,5
2022-01-08T00:00:00.000,Sewer,QUEENS,15
2022-01-08T00:00:00.000,Sewer,STATEN ISLAND,7
2022-01-08T00:00:00.000,Street Condition,BRONX,9
2022-01-08T00:00:00.000,Street Condition,BROOKLYN,5
2022-01-08T00:00:00.000,Street Condition,MANHATTAN,7
2022-01-08T00:00:00.000,Street Condition,QUEENS,35
2022-01-08T00:00:00.000,Street Condition,STATEN ISLAND,5
2022-01-09T00:00:00.000,Air Quality,BROOKLYN,2
2022-01-09T00:00:00.000,Air Quality,MANHATTAN,5
2022-01-09T00:00:00.000,Air Quality,QUEENS,11
2022-01-09T00:00:00.000,HEAT/HOT WATER,BRONX,475
